type,model,mae,rmse,milliseconds,train_samples,test_samples
rainfall,Persistence,1.8320289855072467,2.1965261572356223,0.14820000069448724,207,69
rainfall,AR,3.232443953959601,4.305112560765873,2.3997999960556626,207,69
rainfall,Gradient Boosting,8.855217411698575,13.881162354039361,114.50499999773456,207,69
water_level,Persistence,0.05484057971014493,0.06832827835668338,0.05959999543847516,207,69
water_level,AR,0.13495196920401945,0.1894987333346271,1.1143000010633841,207,69
water_level,Gradient Boosting,0.4276096274143615,0.7134175422143401,58.45430000044871,207,69
soil_moisture,Persistence,0.8229710144927538,1.0105907226447568,0.054100004490464926,207,69
soil_moisture,AR,8.8000175757647,13.243970327638065,1.0055000020656735,207,69
soil_moisture,Gradient Boosting,8.726775869159436,13.074304505815615,54.388799995649606,207,69
displacement,Persistence,0.37739130434782614,0.4960598666535603,0.08210000669350848,207,69
displacement,AR,0.9175466660374783,1.1891659726260342,1.756300000124611,207,69
displacement,Gradient Boosting,3.917286843807316,6.423231567354841,57.265499999630265,207,69
