seed,beta,completed,total_tasks,urgent_satisfaction,mean_response,p1_response,weighted_response,started_tasks,unmet,lateness,travel,reassignments,withdrawals,violations,solve_seconds,solver_calls,fallback_calls,region_gini,unserved_regions,region_waits
5,5,17,36,0.5909090909090909,25.727272727272727,23.5,2450,22,44,76,373,20,21,0,2.631612600031076,30,0,0.21186440677966095,0,"[{""node"":""N3"",""tasks"":7,""started"":6,""wait"":20.5,""unstarted"":1},{""node"":""N4"",""tasks"":6,""started"":3,""wait"":21.666666666666668,""unstarted"":3},{""node"":""N5"",""tasks"":5,""started"":3,""wait"":34.666666666666664,""unstarted"":2},{""node"":""N6"",""tasks"":5,""started"":3,""wait"":8.666666666666666,""unstarted"":2},{""node"":""N7"",""tasks"":7,""started"":5,""wait"":37.4,""unstarted"":2},{""node"":""N8"",""tasks"":6,""started"":2,""wait"":30.5,""unstarted"":4}]"
5,10,17,36,0.5909090909090909,23.761904761904763,25.529411764705884,2365,21,44,54,361,21,19,0,2.6777418999845395,30,0,0.1996774805539745,0,"[{""node"":""N3"",""tasks"":7,""started"":6,""wait"":20.5,""unstarted"":1},{""node"":""N4"",""tasks"":6,""started"":3,""wait"":21.666666666666668,""unstarted"":3},{""node"":""N5"",""tasks"":5,""started"":3,""wait"":36.333333333333336,""unstarted"":2},{""node"":""N6"",""tasks"":5,""started"":3,""wait"":8.666666666666666,""unstarted"":2},{""node"":""N7"",""tasks"":7,""started"":4,""wait"":28.75,""unstarted"":3},{""node"":""N8"",""tasks"":6,""started"":2,""wait"":30.5,""unstarted"":4}]"
5,20,17,36,0.5909090909090909,24.571428571428573,25.0,2348,21,44,81,379,13,22,0,3.1050936999818077,30,0,0.1842894638170229,0,"[{""node"":""N3"",""tasks"":7,""started"":6,""wait"":26.333333333333332,""unstarted"":1},{""node"":""N4"",""tasks"":6,""started"":4,""wait"":23.0,""unstarted"":2},{""node"":""N5"",""tasks"":5,""started"":3,""wait"":36.333333333333336,""unstarted"":2},{""node"":""N6"",""tasks"":5,""started"":3,""wait"":8.666666666666666,""unstarted"":2},{""node"":""N7"",""tasks"":7,""started"":3,""wait"":23.333333333333332,""unstarted"":4},{""node"":""N8"",""tasks"":6,""started"":2,""wait"":30.5,""unstarted"":4}]"
5,50,14,36,0.5909090909090909,16.333333333333332,16.857142857142858,1207,15,51,28,308,2,23,0,3.3466234999796143,30,0,0.20542635658914726,0,"[{""node"":""N3"",""tasks"":7,""started"":3,""wait"":14.0,""unstarted"":4},{""node"":""N4"",""tasks"":6,""started"":2,""wait"":11.5,""unstarted"":4},{""node"":""N5"",""tasks"":5,""started"":1,""wait"":21.0,""unstarted"":4},{""node"":""N6"",""tasks"":5,""started"":4,""wait"":8.75,""unstarted"":1},{""node"":""N7"",""tasks"":7,""started"":2,""wait"":22.0,""unstarted"":5},{""node"":""N8"",""tasks"":6,""started"":3,""wait"":26.666666666666668,""unstarted"":3}]"
4,0,17,36,0.4782608695652174,27.055555555555557,25.0,2061,18,48,118,318,29,16,0,2.4749086999800056,30,0,0.339641282869737,0,"[{""node"":""N3"",""tasks"":5,""started"":3,""wait"":15.0,""unstarted"":2},{""node"":""N4"",""tasks"":8,""started"":5,""wait"":32.2,""unstarted"":3},{""node"":""N5"",""tasks"":6,""started"":3,""wait"":13.333333333333334,""unstarted"":3},{""node"":""N6"",""tasks"":4,""started"":1,""wait"":8.0,""unstarted"":3},{""node"":""N7"",""tasks"":8,""started"":3,""wait"":23.0,""unstarted"":5},{""node"":""N8"",""tasks"":5,""started"":3,""wait"":54.666666666666664,""unstarted"":2}]"
4,1,18,36,0.5217391304347826,23.94736842105263,22.076923076923077,1939,19,45,78,346,26,23,0,2.7392220000183443,30,0,0.2799227799227799,0,"[{""node"":""N3"",""tasks"":5,""started"":2,""wait"":11.0,""unstarted"":3},{""node"":""N4"",""tasks"":8,""started"":4,""wait"":19.0,""unstarted"":4},{""node"":""N5"",""tasks"":6,""started"":4,""wait"":24.5,""unstarted"":2},{""node"":""N6"",""tasks"":4,""started"":1,""wait"":8.0,""unstarted"":3},{""node"":""N7"",""tasks"":8,""started"":5,""wait"":25.0,""unstarted"":3},{""node"":""N8"",""tasks"":5,""started"":3,""wait"":42.0,""unstarted"":2}]"
4,2,16,36,0.5217391304347826,24.0,20.615384615384617,1832,18,49,93,332,17,23,0,2.5035986000148114,30,0,0.27018153727307836,0,"[{""node"":""N3"",""tasks"":5,""started"":2,""wait"":11.0,""unstarted"":3},{""node"":""N4"",""tasks"":8,""started"":4,""wait"":19.0,""unstarted"":4},{""node"":""N5"",""tasks"":6,""started"":4,""wait"":15.5,""unstarted"":2},{""node"":""N6"",""tasks"":4,""started"":2,""wait"":23.0,""unstarted"":2},{""node"":""N7"",""tasks"":8,""started"":3,""wait"":23.0,""unstarted"":5},{""node"":""N8"",""tasks"":5,""started"":3,""wait"":52.333333333333336,""unstarted"":2}]"
4,5,16,36,0.5652173913043478,22.736842105263158,19.466666666666665,1880,19,49,95,343,13,28,0,2.793932999964454,30,0,0.34597701149425286,0,"[{""node"":""N3"",""tasks"":5,""started"":5,""wait"":11.0,""unstarted"":0},{""node"":""N4"",""tasks"":8,""started"":5,""wait"":16.0,""unstarted"":3},{""node"":""N5"",""tasks"":6,""started"":2,""wait"":10.0,""unstarted"":4},{""node"":""N6"",""tasks"":4,""started"":2,""wait"":23.0,""unstarted"":2},{""node"":""N7"",""tasks"":8,""started"":2,""wait"":24.0,""unstarted"":6},{""node"":""N8"",""tasks"":5,""started"":3,""wait"":61.0,""unstarted"":2}]"
4,10,16,36,0.5652173913043478,22.736842105263158,19.466666666666665,1880,19,49,95,343,15,28,0,2.780706499979715,30,0,0.34597701149425286,0,"[{""node"":""N3"",""tasks"":5,""started"":5,""wait"":11.0,""unstarted"":0},{""node"":""N4"",""tasks"":8,""started"":5,""wait"":16.0,""unstarted"":3},{""node"":""N5"",""tasks"":6,""started"":2,""wait"":10.0,""unstarted"":4},{""node"":""N6"",""tasks"":4,""started"":2,""wait"":23.0,""unstarted"":2},{""node"":""N7"",""tasks"":8,""started"":2,""wait"":24.0,""unstarted"":6},{""node"":""N8"",""tasks"":5,""started"":3,""wait"":61.0,""unstarted"":2}]"
4,20,17,36,0.5652173913043478,22.894736842105264,20.0,1905,19,48,90,319,11,14,0,3.3391352999169612,30,0,0.32856051928216873,0,"[{""node"":""N3"",""tasks"":5,""started"":3,""wait"":9.666666666666666,""unstarted"":2},{""node"":""N4"",""tasks"":8,""started"":5,""wait"":16.0,""unstarted"":3},{""node"":""N5"",""tasks"":6,""started"":4,""wait"":13.5,""unstarted"":2},{""node"":""N6"",""tasks"":4,""started"":2,""wait"":23.0,""unstarted"":2},{""node"":""N7"",""tasks"":8,""started"":2,""wait"":24.0,""unstarted"":6},{""node"":""N8"",""tasks"":5,""started"":3,""wait"":59.333333333333336,""unstarted"":2}]"
