seed,resource_scale,resource_count,event_rate,method,completed,total_tasks,urgent_satisfaction,mean_response,p1_response,weighted_response,started_tasks,unmet,lateness,travel,reassignments,withdrawals,violations,solve_seconds,solver_calls,fallback_calls,region_gini,unserved_regions,region_waits
4,0.75,18,medium,rolling_forecast,19,24,1.0,26.9,25.2,2118,20,10,75,327,13,16,0,2.5945245000330033,18,11,0.2664955070603337,1,"[{""node"":""N3"",""tasks"":2,""started"":2,""wait"":5.0,""unstarted"":0},{""node"":""N4"",""tasks"":6,""started"":6,""wait"":29.166666666666668,""unstarted"":0},{""node"":""N5"",""tasks"":6,""started"":6,""wait"":22.0,""unstarted"":0},{""node"":""N6"",""tasks"":2,""started"":0,""wait"":null,""unstarted"":2},{""node"":""N7"",""tasks"":4,""started"":3,""wait"":29.0,""unstarted"":1},{""node"":""N8"",""tasks"":4,""started"":3,""wait"":44.666666666666664,""unstarted"":1}]"
4,0.75,18,medium,static,4,24,0.2,14.25,15.5,233,4,49,0,121,0,0,0,0.02591180001036264,1,0,0.20614035087719298,2,"[{""node"":""N3"",""tasks"":2,""started"":1,""wait"":6.0,""unstarted"":1},{""node"":""N4"",""tasks"":6,""started"":1,""wait"":13.0,""unstarted"":5},{""node"":""N5"",""tasks"":6,""started"":1,""wait"":18.0,""unstarted"":5},{""node"":""N6"",""tasks"":2,""started"":0,""wait"":null,""unstarted"":2},{""node"":""N7"",""tasks"":4,""started"":1,""wait"":20.0,""unstarted"":3},{""node"":""N8"",""tasks"":4,""started"":0,""wait"":null,""unstarted"":4}]"
4,1,26,high,greedy,26,36,0.8,28.0,34.57142857142857,3254,28,23,84,479,38,23,0,0.26348439998400863,22,22,0.2665798437186935,0,"[{""node"":""N3"",""tasks"":3,""started"":3,""wait"":6.333333333333333,""unstarted"":0},{""node"":""N4"",""tasks"":9,""started"":8,""wait"":36.25,""unstarted"":1},{""node"":""N5"",""tasks"":9,""started"":9,""wait"":33.888888888888886,""unstarted"":0},{""node"":""N6"",""tasks"":3,""started"":2,""wait"":16.5,""unstarted"":1},{""node"":""N7"",""tasks"":6,""started"":3,""wait"":14.666666666666666,""unstarted"":3},{""node"":""N8"",""tasks"":6,""started"":3,""wait"":31.0,""unstarted"":3}]"
4,1,26,high,rolling,30,36,0.8,26.5,28.615384615384617,3166,32,16,64,471,18,23,0,3.2153886999876704,22,0,0.18233194527067223,0,"[{""node"":""N3"",""tasks"":3,""started"":3,""wait"":6.333333333333333,""unstarted"":0},{""node"":""N4"",""tasks"":9,""started"":8,""wait"":26.875,""unstarted"":1},{""node"":""N5"",""tasks"":9,""started"":7,""wait"":34.714285714285715,""unstarted"":2},{""node"":""N6"",""tasks"":3,""started"":2,""wait"":30.5,""unstarted"":1},{""node"":""N7"",""tasks"":6,""started"":6,""wait"":23.5,""unstarted"":0},{""node"":""N8"",""tasks"":6,""started"":6,""wait"":28.166666666666668,""unstarted"":0}]"
4,1,26,high,rolling_forecast,27,36,0.8666666666666667,27.833333333333332,32.53333333333333,3383,30,21,112,453,39,59,0,2.7430112999572884,22,7,0.24616513271975463,0,"[{""node"":""N3"",""tasks"":3,""started"":3,""wait"":6.333333333333333,""unstarted"":0},{""node"":""N4"",""tasks"":9,""started"":9,""wait"":33.55555555555556,""unstarted"":0},{""node"":""N5"",""tasks"":9,""started"":9,""wait"":37.111111111111114,""unstarted"":0},{""node"":""N6"",""tasks"":3,""started"":2,""wait"":24.5,""unstarted"":1},{""node"":""N7"",""tasks"":6,""started"":3,""wait"":18.333333333333332,""unstarted"":3},{""node"":""N8"",""tasks"":6,""started"":4,""wait"":19.0,""unstarted"":2}]"
4,1,26,high,static,4,36,0.13333333333333333,14.25,15.5,233,4,78,0,121,0,0,0,0.1460330999980215,1,0,0.20614035087719298,2,"[{""node"":""N3"",""tasks"":3,""started"":1,""wait"":6.0,""unstarted"":2},{""node"":""N4"",""tasks"":9,""started"":1,""wait"":13.0,""unstarted"":8},{""node"":""N5"",""tasks"":9,""started"":1,""wait"":18.0,""unstarted"":8},{""node"":""N6"",""tasks"":3,""started"":0,""wait"":null,""unstarted"":3},{""node"":""N7"",""tasks"":6,""started"":1,""wait"":20.0,""unstarted"":5},{""node"":""N8"",""tasks"":6,""started"":0,""wait"":null,""unstarted"":6}]"
4,1,26,low,greedy,12,12,1.0,17.0,17.0,760,12,0,0,293,0,0,0,0.06393979997665156,14,14,0.20059523809523805,0,"[{""node"":""N3"",""tasks"":1,""started"":1,""wait"":6.0,""unstarted"":0},{""node"":""N4"",""tasks"":3,""started"":3,""wait"":19.333333333333332,""unstarted"":0},{""node"":""N5"",""tasks"":3,""started"":3,""wait"":15.0,""unstarted"":0},{""node"":""N6"",""tasks"":1,""started"":1,""wait"":11.0,""unstarted"":0},{""node"":""N7"",""tasks"":2,""started"":2,""wait"":19.5,""unstarted"":0},{""node"":""N8"",""tasks"":2,""started"":2,""wait"":22.5,""unstarted"":0}]"
4,1,26,low,rolling,12,12,1.0,17.0,17.0,760,12,0,0,293,0,0,0,0.8397206000081496,14,0,0.20059523809523805,0,"[{""node"":""N3"",""tasks"":1,""started"":1,""wait"":6.0,""unstarted"":0},{""node"":""N4"",""tasks"":3,""started"":3,""wait"":19.333333333333332,""unstarted"":0},{""node"":""N5"",""tasks"":3,""started"":3,""wait"":15.0,""unstarted"":0},{""node"":""N6"",""tasks"":1,""started"":1,""wait"":11.0,""unstarted"":0},{""node"":""N7"",""tasks"":2,""started"":2,""wait"":19.5,""unstarted"":0},{""node"":""N8"",""tasks"":2,""started"":2,""wait"":22.5,""unstarted"":0}]"
4,1,26,low,rolling_forecast,12,12,1.0,15.5,17.0,708,12,0,0,359,0,0,0,0.7100210000062361,14,0,0.18124585818422795,0,"[{""node"":""N3"",""tasks"":1,""started"":1,""wait"":6.0,""unstarted"":0},{""node"":""N4"",""tasks"":3,""started"":3,""wait"":19.333333333333332,""unstarted"":0},{""node"":""N5"",""tasks"":3,""started"":3,""wait"":15.0,""unstarted"":0},{""node"":""N6"",""tasks"":1,""started"":1,""wait"":10.0,""unstarted"":0},{""node"":""N7"",""tasks"":2,""started"":2,""wait"":15.5,""unstarted"":0},{""node"":""N8"",""tasks"":2,""started"":2,""wait"":18.0,""unstarted"":0}]"
4,1,26,low,static,4,12,0.4,14.25,15.5,233,4,20,0,121,0,0,0,0.1487584999995306,1,0,0.20614035087719298,2,"[{""node"":""N3"",""tasks"":1,""started"":1,""wait"":6.0,""unstarted"":0},{""node"":""N4"",""tasks"":3,""started"":1,""wait"":13.0,""unstarted"":2},{""node"":""N5"",""tasks"":3,""started"":1,""wait"":18.0,""unstarted"":2},{""node"":""N6"",""tasks"":1,""started"":0,""wait"":null,""unstarted"":1},{""node"":""N7"",""tasks"":2,""started"":1,""wait"":20.0,""unstarted"":1},{""node"":""N8"",""tasks"":2,""started"":0,""wait"":null,""unstarted"":2}]"
4,1,26,medium,greedy,24,24,1.0,19.916666666666668,18.0,1752,24,0,18,410,1,4,0,0.047224900030414574,18,18,0.2703818369453045,0,"[{""node"":""N3"",""tasks"":2,""started"":2,""wait"":5.0,""unstarted"":0},{""node"":""N4"",""tasks"":6,""started"":6,""wait"":18.333333333333332,""unstarted"":0},{""node"":""N5"",""tasks"":6,""started"":6,""wait"":20.833333333333332,""unstarted"":0},{""node"":""N6"",""tasks"":2,""started"":2,""wait"":10.5,""unstarted"":0},{""node"":""N7"",""tasks"":4,""started"":4,""wait"":19.5,""unstarted"":0},{""node"":""N8"",""tasks"":4,""started"":4,""wait"":33.5,""unstarted"":0}]"
4,1,26,medium,rolling,24,24,1.0,19.916666666666668,18.0,1752,24,0,18,410,0,12,0,2.4082053000165615,18,8,0.2703818369453045,0,"[{""node"":""N3"",""tasks"":2,""started"":2,""wait"":5.0,""unstarted"":0},{""node"":""N4"",""tasks"":6,""started"":6,""wait"":18.333333333333332,""unstarted"":0},{""node"":""N5"",""tasks"":6,""started"":6,""wait"":20.833333333333332,""unstarted"":0},{""node"":""N6"",""tasks"":2,""started"":2,""wait"":10.5,""unstarted"":0},{""node"":""N7"",""tasks"":4,""started"":4,""wait"":19.5,""unstarted"":0},{""node"":""N8"",""tasks"":4,""started"":4,""wait"":33.5,""unstarted"":0}]"
4,1,26,medium,rolling_forecast,24,24,1.0,19.916666666666668,18.0,1752,24,0,18,410,2,12,0,1.983208100005868,18,9,0.2703818369453045,0,"[{""node"":""N3"",""tasks"":2,""started"":2,""wait"":5.0,""unstarted"":0},{""node"":""N4"",""tasks"":6,""started"":6,""wait"":18.333333333333332,""unstarted"":0},{""node"":""N5"",""tasks"":6,""started"":6,""wait"":20.833333333333332,""unstarted"":0},{""node"":""N6"",""tasks"":2,""started"":2,""wait"":10.5,""unstarted"":0},{""node"":""N7"",""tasks"":4,""started"":4,""wait"":19.5,""unstarted"":0},{""node"":""N8"",""tasks"":4,""started"":4,""wait"":33.5,""unstarted"":0}]"
4,1,26,medium,static,4,24,0.2,14.25,15.5,233,4,49,0,121,0,0,0,0.14276010000321548,1,0,0.20614035087719298,2,"[{""node"":""N3"",""tasks"":2,""started"":1,""wait"":6.0,""unstarted"":1},{""node"":""N4"",""tasks"":6,""started"":1,""wait"":13.0,""unstarted"":5},{""node"":""N5"",""tasks"":6,""started"":1,""wait"":18.0,""unstarted"":5},{""node"":""N6"",""tasks"":2,""started"":0,""wait"":null,""unstarted"":2},{""node"":""N7"",""tasks"":4,""started"":1,""wait"":20.0,""unstarted"":3},{""node"":""N8"",""tasks"":4,""started"":0,""wait"":null,""unstarted"":4}]"
5,0.35,8,high,greedy,12,36,0.3333333333333333,26.23076923076923,36.333333333333336,1459,13,61,40,139,1,2,0,0.04150959994876757,22,22,0.2820861678004534,1,"[{""node"":""N3"",""tasks"":3,""started"":3,""wait"":11.333333333333334,""unstarted"":0},{""node"":""N4"",""tasks"":9,""started"":5,""wait"":32.0,""unstarted"":4},{""node"":""N5"",""tasks"":9,""started"":1,""wait"":58.0,""unstarted"":8},{""node"":""N6"",""tasks"":3,""started"":0,""wait"":null,""unstarted"":3},{""node"":""N7"",""tasks"":6,""started"":3,""wait"":21.666666666666668,""unstarted"":3},{""node"":""N8"",""tasks"":6,""started"":1,""wait"":24.0,""unstarted"":5}]"
5,0.35,8,high,rolling,14,36,0.3333333333333333,24.357142857142858,34.6,1369,14,57,52,130,10,24,0,1.974042899964843,22,0,0.19628403237674757,2,"[{""node"":""N3"",""tasks"":3,""started"":3,""wait"":11.333333333333334,""unstarted"":0},{""node"":""N4"",""tasks"":9,""started"":5,""wait"":34.6,""unstarted"":4},{""node"":""N5"",""tasks"":9,""started"":0,""wait"":null,""unstarted"":9},{""node"":""N6"",""tasks"":3,""started"":0,""wait"":null,""unstarted"":3},{""node"":""N7"",""tasks"":6,""started"":3,""wait"":21.666666666666668,""unstarted"":3},{""node"":""N8"",""tasks"":6,""started"":3,""wait"":23.0,""unstarted"":3}]"
5,0.35,8,high,rolling_forecast,12,36,0.2,24.916666666666668,18.666666666666668,1009,12,63,50,153,11,15,0,1.6539514000032796,22,0,0.2992686682063125,2,"[{""node"":""N3"",""tasks"":3,""started"":3,""wait"":11.333333333333334,""unstarted"":0},{""node"":""N4"",""tasks"":9,""started"":3,""wait"":18.666666666666668,""unstarted"":6},{""node"":""N5"",""tasks"":9,""started"":0,""wait"":null,""unstarted"":9},{""node"":""N6"",""tasks"":3,""started"":0,""wait"":null,""unstarted"":3},{""node"":""N7"",""tasks"":6,""started"":4,""wait"":26.25,""unstarted"":2},{""node"":""N8"",""tasks"":6,""started"":2,""wait"":52.0,""unstarted"":4}]"
5,0.35,8,high,static,3,36,0.06666666666666667,16.333333333333332,15.0,177,3,81,0,87,0,0,0,0.005807299996376969,1,0,0.21768707482993196,3,"[{""node"":""N3"",""tasks"":3,""started"":1,""wait"":9.0,""unstarted"":2},{""node"":""N4"",""tasks"":9,""started"":1,""wait"":15.0,""unstarted"":8},{""node"":""N5"",""tasks"":9,""started"":0,""wait"":null,""unstarted"":9},{""node"":""N6"",""tasks"":3,""started"":0,""wait"":null,""unstarted"":3},{""node"":""N7"",""tasks"":6,""started"":1,""wait"":25.0,""unstarted"":5},{""node"":""N8"",""tasks"":6,""started"":0,""wait"":null,""unstarted"":6}]"
