station_id,type,model,horizon_minutes,mae,rmse,test_samples,train_samples,features,cadence_minutes,milliseconds,protocol
S02,soil_moisture,AR,360,1.0356664072779682,1.1256395401980333,70,243,72,60,10.921299995970912,joint_lags_fixed_train_recursive_common_origins
S03,rainfall,AR,360,0.14222300622726053,0.175226041354744,70,243,72,60,10.983899992424995,joint_lags_fixed_train_recursive_common_origins
S03,soil_moisture,AR,360,0.9728925152123903,1.0715419233022438,70,243,72,60,11.043699996662326,joint_lags_fixed_train_recursive_common_origins
S01,rainfall,AR,720,0.4571488067462445,1.1393638293949409,70,243,72,60,19.620899998699315,joint_lags_fixed_train_recursive_common_origins
S01,soil_moisture,AR,720,1.1607349106606681,1.3021458032800175,70,243,72,60,19.664499995997176,joint_lags_fixed_train_recursive_common_origins
S02,rainfall,AR,720,0.38217306753990776,0.5887099809078699,70,243,72,60,19.70150000124704,joint_lags_fixed_train_recursive_common_origins
S02,soil_moisture,AR,720,1.602004646020313,1.704277490916702,70,243,72,60,19.737299997359514,joint_lags_fixed_train_recursive_common_origins
S03,rainfall,AR,720,0.3805497849872861,0.9423018054559891,70,243,72,60,19.773599997279234,joint_lags_fixed_train_recursive_common_origins
S03,soil_moisture,AR,720,1.5279519968974182,1.614901272104657,70,243,72,60,19.816799991531298,joint_lags_fixed_train_recursive_common_origins
S01,rainfall,Gradient Boosting,60,0.06478161157312708,0.1207981130473947,70,243,72,60,20.08229999046307,joint_lags_fixed_train_recursive_common_origins
S01,soil_moisture,Gradient Boosting,60,1.9207357167580321,2.2236014211118045,70,243,72,60,20.218399993609637,joint_lags_fixed_train_recursive_common_origins
S02,rainfall,Gradient Boosting,60,0.10823177999441685,0.17286453858648518,70,243,72,60,20.282099998439662,joint_lags_fixed_train_recursive_common_origins
S02,soil_moisture,Gradient Boosting,60,1.822613595376278,2.071540563543511,70,243,72,60,20.3406999935396,joint_lags_fixed_train_recursive_common_origins
S03,rainfall,Gradient Boosting,60,0.10166696831146022,0.11694167187655441,70,243,72,60,20.39879999938421,joint_lags_fixed_train_recursive_common_origins
