type,model,horizon_minutes,mae,rmse,test_samples,train_samples,first_origin_index,last_origin_index,milliseconds,protocol
rainfall,Persistence,5,1.767706896551724,2.1267755381457567,58,207,218,275,0.06600000051548705,fixed_train_recursive_rolling_origin
rainfall,Persistence,15,2.314379310344828,2.768435640673578,58,207,218,275,0.10119999933522195,fixed_train_recursive_rolling_origin
rainfall,Persistence,30,3.651844827586207,4.648620939368044,58,207,218,275,0.1322999960393645,fixed_train_recursive_rolling_origin
rainfall,Persistence,60,7.249724137931034,9.183127047978283,58,207,218,275,0.18399999680696055,fixed_train_recursive_rolling_origin
rainfall,AR,5,2.3324787676579617,3.059508455086741,58,207,218,275,0.0810999990790151,fixed_train_recursive_rolling_origin
rainfall,AR,15,3.3730619360179803,4.5816875929994,58,207,218,275,0.20570000197039917,fixed_train_recursive_rolling_origin
rainfall,AR,30,5.538499287724114,7.71993179764822,58,207,218,275,0.4193999993731268,fixed_train_recursive_rolling_origin
rainfall,AR,60,12.18909438946702,16.60900917279106,58,207,218,275,1.0891999991144985,fixed_train_recursive_rolling_origin
rainfall,Gradient Boosting,5,4.867002213401097,7.49751563317696,58,207,218,275,3.1981000065570697,fixed_train_recursive_rolling_origin
rainfall,Gradient Boosting,15,5.857884560994101,8.841751248305282,58,207,218,275,7.205400004750118,fixed_train_recursive_rolling_origin
rainfall,Gradient Boosting,30,7.7500313891155965,11.412417814110302,58,207,218,275,12.231100001372397,fixed_train_recursive_rolling_origin
rainfall,Gradient Boosting,60,12.48642605020669,17.01914329514856,58,207,218,275,16.89960000658175,fixed_train_recursive_rolling_origin
water_level,Persistence,5,0.052534482758620694,0.06612566406680438,58,207,218,275,0.06800000119255856,fixed_train_recursive_rolling_origin
water_level,Persistence,15,0.08325862068965517,0.11513942073371981,58,207,218,275,0.10700000711949542,fixed_train_recursive_rolling_origin
water_level,Persistence,30,0.15787931034482755,0.21799410779762549,58,207,218,275,0.15250000433297828,fixed_train_recursive_rolling_origin
water_level,Persistence,60,0.33462068965517244,0.4621556313475006,58,207,218,275,0.2055000004475005,fixed_train_recursive_rolling_origin
water_level,AR,5,0.09247182181774187,0.1338483722012979,58,207,218,275,0.08320000051753595,fixed_train_recursive_rolling_origin
water_level,AR,15,0.1358913904672212,0.2023568211617865,58,207,218,275,0.20219999714754522,fixed_train_recursive_rolling_origin
water_level,AR,30,0.2240142266618657,0.33125914238115567,58,207,218,275,0.35260000004200265,fixed_train_recursive_rolling_origin
water_level,AR,60,0.4562595611380252,0.6517373615163669,58,207,218,275,0.6285999988904223,fixed_train_recursive_rolling_origin
water_level,Gradient Boosting,5,0.214842640226145,0.3755571977725039,58,207,218,275,1.6905999946175143,fixed_train_recursive_rolling_origin
water_level,Gradient Boosting,15,0.2561657024481738,0.4421757393246419,58,207,218,275,5.329899999196641,fixed_train_recursive_rolling_origin
water_level,Gradient Boosting,30,0.3314362262638459,0.5532238675528806,58,207,218,275,7.460499997250736,fixed_train_recursive_rolling_origin
water_level,Gradient Boosting,60,0.5125129687981891,0.7979779127471888,58,207,218,275,12.260099996638019,fixed_train_recursive_rolling_origin
soil_moisture,Persistence,5,0.8249482758620689,1.019827968927552,58,207,218,275,0.07179999374784529,fixed_train_recursive_rolling_origin
soil_moisture,Persistence,15,1.4185172413793103,1.8016602018023882,58,207,218,275,0.11309999536024407,fixed_train_recursive_rolling_origin
soil_moisture,Persistence,30,2.6085689655172413,3.384822414228267,58,207,218,275,0.1483999949414283,fixed_train_recursive_rolling_origin
soil_moisture,Persistence,60,5.483810344827587,7.024110797816333,58,207,218,275,0.20989999757148325,fixed_train_recursive_rolling_origin
soil_moisture,AR,5,5.296530982554359,8.124930020806312,58,207,218,275,0.10730000212788582,fixed_train_recursive_rolling_origin
soil_moisture,AR,15,5.728673441284618,8.667391270431027,58,207,218,275,0.2601000014692545,fixed_train_recursive_rolling_origin
soil_moisture,AR,30,7.8616913730744225,11.622198731216985,58,207,218,275,0.4772000029333867,fixed_train_recursive_rolling_origin
soil_moisture,AR,60,10.092672685652792,13.99213261055199,58,207,218,275,0.8501999982399866,fixed_train_recursive_rolling_origin
soil_moisture,Gradient Boosting,5,5.287930001653423,8.070140580190554,58,207,218,275,1.0212999986833893,fixed_train_recursive_rolling_origin
soil_moisture,Gradient Boosting,15,5.969349810402973,9.076261617829523,58,207,218,275,2.275099999678787,fixed_train_recursive_rolling_origin
soil_moisture,Gradient Boosting,30,7.357312543494173,10.816389667163168,58,207,218,275,4.068100002768915,fixed_train_recursive_rolling_origin
soil_moisture,Gradient Boosting,60,10.227424009292383,14.203678559504795,58,207,218,275,9.379300005093683,fixed_train_recursive_rolling_origin
displacement,Persistence,5,0.35206896551724143,0.4648648301870423,58,207,218,275,0.06030000076862052,fixed_train_recursive_rolling_origin
displacement,Persistence,15,0.7566379310344827,0.9803082643247727,58,207,218,275,0.10140000085812062,fixed_train_recursive_rolling_origin
displacement,Persistence,30,1.4600344827586207,1.9327133776119,58,207,218,275,0.14370000280905515,fixed_train_recursive_rolling_origin
displacement,Persistence,60,3.140189655172414,4.08258487463772,58,207,218,275,0.19669999892357737,fixed_train_recursive_rolling_origin
displacement,AR,5,0.7038344280915281,0.934850270235023,58,207,218,275,0.07929999992484227,fixed_train_recursive_rolling_origin
displacement,AR,15,1.0344225322273763,1.409069520392917,58,207,218,275,0.1942999952007085,fixed_train_recursive_rolling_origin
displacement,AR,30,1.7579431824917415,2.430122507852217,58,207,218,275,0.3448999996180646,fixed_train_recursive_rolling_origin
displacement,AR,60,3.626752404368755,4.905558916420852,58,207,218,275,0.6205999961821362,fixed_train_recursive_rolling_origin
displacement,Gradient Boosting,5,2.0587820836488455,3.578982967807368,58,207,218,275,0.5996999971102923,fixed_train_recursive_rolling_origin
displacement,Gradient Boosting,15,2.4408627724061516,4.123167472131995,58,207,218,275,2.4825000000419095,fixed_train_recursive_rolling_origin
displacement,Gradient Boosting,30,3.1808294800336405,5.056936017498704,58,207,218,275,4.082499996002298,fixed_train_recursive_rolling_origin
displacement,Gradient Boosting,60,4.85359030450504,6.978059164746407,58,207,218,275,7.543799998529721,fixed_train_recursive_rolling_origin
