type,model,mae,rmse,milliseconds,train_samples,test_samples
rainfall,Persistence,1.8320289855072467,2.1965261572356223,0.08859999798005447,207,69
rainfall,AR,3.232443953959601,4.305112560765873,1.0646000009728596,207,69
rainfall,Gradient Boosting,8.855217411698575,13.881162354039361,108.81769999832613,207,69
water_level,Persistence,0.05484057971014493,0.06832827835668338,0.0478999936603941,207,69
water_level,AR,0.13495196920401945,0.1894987333346271,0.8521999989170581,207,69
water_level,Gradient Boosting,0.4276096274143615,0.7134175422143401,64.70730000000913,207,69
soil_moisture,Persistence,0.8229710144927538,1.0105907226447568,0.05869999586138874,207,69
soil_moisture,AR,8.8000175757647,13.243970327638065,0.9664000026532449,207,69
soil_moisture,Gradient Boosting,8.726775869159436,13.074304505815615,62.20339999708813,207,69
displacement,Persistence,0.37739130434782614,0.4960598666535603,0.043799998820759356,207,69
displacement,AR,0.9175466660374783,1.1891659726260342,0.80339999840362,207,69
displacement,Gradient Boosting,3.917286843807316,6.423231567354841,50.38069999864092,207,69
