method,urgent_satisfaction_mean,urgent_satisfaction_std,unmet_units_mean,unmet_units_std,completed_units_mean,completed_units_std,mean_response_mean,mean_response_std,late_minutes_mean,late_minutes_std,violations_mean,violations_std,solver_seconds_mean,solver_seconds_std,arrived_units_mean,arrived_units_std,total_units_mean,total_units_std
dynamic,1.0,0.0,0.0,0.0,16.047619047619047,1.532194193834139,37.37057586192371,5.222885344230029,179.95238095238096,78.32079940250622,0.0,0.0,0.1298913285716567,0.0202650269985322,16.047619047619047,1.532194193834139,16.047619047619047,1.532194193834139
greedy,1.0,0.0,0.0,0.0,16.047619047619047,1.532194193834139,37.8625028958952,5.371946047213343,172.95238095238096,84.40051906859117,0.0,0.0,0.01989329999681407,0.0016877344324524681,16.047619047619047,1.532194193834139,16.047619047619047,1.532194193834139
static,0.4114478114478114,0.048081586163525675,10.047619047619047,1.532194193834139,6.0,0.0,17.88095238095238,2.0228849428634073,14.19047619047619,7.311764818558155,0.0,0.0,0.03426528095276028,0.007639959211145403,6.0,0.0,16.047619047619047,1.532194193834139
